Nome do Objeto,Modelo,Responsável pela Pesquisa,Tipo do Objeto,Descrição do Objeto,Função/Uso,Ano de Fabricação/Época,Foi importado para o Memória Virtual?,Fabricante,Local de Fabricação/Origem,Estado do Objeto,Localização atual,Situação do Cadastro,É patrimoniável ?,Foi importado para o Memória Virtual?,Número de Patrimônio,Passou pelo CTA,Imagens do Objeto
,Compaq Presario Evo N1020,"Equipe: Vozinho do nosso computador",Computadores,"O notebook Compac Presario Evo N1020 é o último modelo da linha Compac Evo, lançada em 2003, assim como o último notebook antes da Compac ser comprada pela HP. Essa linha de modelos foi projetada como thin client, sendo notebooks projetados de modo simples, sem finalidade de uso pessoal, obtendo baixo desempenho e apenas feito para estabelecer conexões remotas com um ambiente de computação baseado em servidor, executando programas, realizando cálculos, armazenando dados. Ela foi baseada em duas linhas anteriores, a linha Compaq Armada, projetada para uso empresarial e a linha Deskpro, projetada para uso pessoal, gerando o notebook a linha Compaq Evo voltada para negócios. As especificações do Evo N1020 eram projetadas para equipamentos básicos da época, sendo uma evolução do modelo N1000 lançada em 2002, como USB, porta para equipamentos de som externo, microfone e outros, era mediano e compacto de forma a economizar espaço, possui-a unidades CD-RW e DVD-ROM, diferente de alguns dos modelos anteriores de sua linha que tinha apenas CD-RW e eram menores. Seu SO era Windowns XP e tinha como CPU Intel Celeron.","Voltado para o uso empresarial. Realizava cálculos, executava programas, armazenava dados, se comunicava com servidores, entre muitos outros. ",2003,"Não",COMPAQ COMPUTER BRASIL,Brasil,,,Em Progresso,,"Não",,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/7/81487_ca_attribute_values_value_blob_4797_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/10554_ca_attribute_values_value_blob_4798_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/1099_ca_attribute_values_value_blob_4799_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/94118_ca_attribute_values_value_blob_4800_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/34650_ca_attribute_values_value_blob_4801_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/2656_ca_attribute_values_value_blob_4802_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/64227_ca_attribute_values_value_blob_4803_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/16703_ca_attribute_values_value_blob_4804_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/63881_ca_attribute_values_value_blob_4805_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/99065_ca_attribute_values_value_blob_4806_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/88971_ca_attribute_values_value_blob_4807_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/5793_ca_attribute_values_value_blob_4808_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/8/37635_ca_attribute_values_value_blob_4809_large.jpg' width='700' height='525' />"
,"KX-T 1418","grupo Avantajados - Breno Campos Vaz de Arruda, Gabriel de Sousa Dalcin, Gabriel Vasconcelos de Arruda, Gabriel Moraes Andreghetti",Outros,"telefone com sistema automático de resposta (secretária eletrônica) e com um microprocessador automático no formato retangular nas cores preto e prata. Na parte superior possui logomarca do fabricante e venezianas formando o alto-falante. Abaixo, tampa de acesso ao interior do aparelho contendo inscrições na cor branca no canto superior direito e no canto inferior esquerdo. Abaixo da tampa, painel na cor prata com 3 botões de função em formato retangular com as respectivas inscrições: ""MEMO"", ""REW"" e ""FF"". À direita, três led's, sendo dois na cor vermelha ""ANSWER/ CALLS"" e um na cor verde verde ""IN USE"". À direita dos led's, botão retangular de play e pause. Na canto inferior esquerdo, três reentrâncias retangulares formando o microfone. Na lateral esquerda, botão em formato retangular ""POWER/ ON/ OFF"". Na parte posterior possui três saídas, sendo uma para carregador, uma para linha telefônica e a outra para telefone. Na lateral direita possui 3 interruptores (switchs) sendo 2 deles com 2 níveis e o outro com 3 níveis além de 1 controlador de volume. Na base contém, ao centro, etiqueta numerada e etiqueta com número de série. Abaixo, informações sobre o aparelho. Com a tampa aberta, a parte superior apresenta etiqueta na cor branca com inscrições em preto com informações de uso fixada na parte interior da tampa. Possui compartimento para duas fitas tamanho ""k7"", além de dois botões retangulares na cor preta ""START/ STOP"" e ""REC"". Possui controle remoto, 2 fitas ""k7"" (sendo uma delas de 30 segundos e específica para a resposta automática e a outra para a gravação), 1 carregador de 12 volts.","Uma secretária eletrônica ou atendedor de chamadas (ou ainda atendedor automático) é um dispositivo para responder automaticamente chamadas telefônicas e gravar mensagens deixadas por pessoas que ligam para um determinado número, quando a pessoa chamada não pode atender o telefone. ","décadas de 1970 - 1980",,Panasonic,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/5/0/33974_ca_attribute_values_value_blob_5005_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/70921_ca_attribute_values_value_blob_5006_large.jpg' width='700' height='468' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/69729_ca_attribute_values_value_blob_5007_large.jpg' width='700' height='700' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/12118_ca_attribute_values_value_blob_5008_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/36860_ca_attribute_values_value_blob_5009_large.jpg' width='700' height='933' />"
,Alpha,"Grupo: Columba Pascal; Integrantes: Calebe Damas Nogueira, João Pedro Mori Machado, Jorge Luiz Franco, Lucas Vizzotto de Castro e Rafael Galbiati Valerio",Celulares,"Sucessor do MicroTAC 950, o MicroTAC Alpha apresenta teclas de volume laterais e um display LED de matriz de pontos com espaço para 8 caracteres alfanuméricos. O modelo possui um menu de opções de fácil leitura e pode armazenar nomes com cada entrada de número de telefone. Foi disponibilizado em várias cores, como Preto, Carvão, Cinza Médio, Aço e Ardósia, dentre outras. Existe também uma versão mais rara de dois tons com uma fonte cinza claro e um fundo carvão. O MicroTAC Alpha foi considerado mais sofisticado que o modelo chamado Digital Personal Communicator (ou DPC), de 1989, por ter mais opções programáveis pelo usuário e por possuir teclas de volume laterais, as quais não estavam presentes no DPC. O modelo da série Alpha pesava 286 gramas e possuía bateria para 130 minutos de conversa, aproximadamente."," Além da função convencional de ligação, o celular possuía um menu organizado numericamente que permitia ao usuário selecionar opções para operações. Algumas das opções disponíveis eram códigos de segurança, operações com dois números de telefone, calculadora de moeda e de taxa de cobrança, secretária eletrônica de armazenamento temporário, operação viva-voz, tons de teclado, proteção de memória, armazenamento de nome e número de telefone, bem como opções de operação do sistema celular. (*Informações retiradas do modelo anterior.)",1992,,Motorola,Estados Unidos,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/9/86236_ca_attribute_values_value_blob_4903_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/96687_ca_attribute_values_value_blob_5015_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/24870_ca_attribute_values_value_blob_5016_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/28192_ca_attribute_values_value_blob_5017_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/5/0/7820_ca_attribute_values_value_blob_5018_large.jpg' width='700' height='1244' />"
,"Facit Model C1-13","Grupo FPPG BSI (Felipe, Pablo, Paulo, Augusto)",Calculadoras,"A Facit C1-13 é uma maquina de precisão, e é projetada e construida a fim de poder oferecer um serviço perfeito por muitos anos e teve seu periodo de fabricação entre 1960 e 1980, possuindo 3 mostradores, respectivamente numerados (I,II,III), 3 alavancas para que os mostradores sejam ""limpados"", e uma manivela para registrar as operações e possui dimensões de 31x17x21 cm. A C1-13 efetua adições, subtrações, multiplicações e divisões, e a mecanica utilizada é a seguinte: utilizando o numero 30.271 como exemplo, ele primeiramente aparece no primeiro mostrador. Ao acionar a manivela, este numero é registrado no terceiro mostrador, e a quantidade de acionamento da manivela fica registrado no segundo mostrador. Ao utilizar a manivela novamente, essa ação é registrada no mostrador II, e o numero que está no terceiro mostrador é multiplicado por 2 que nada mais é que a quantidade de vezes que a manivela foi acionada, gerando assim uma conta de multiplicação (2 x 30.271= 60.542). O modelo C1-13 [e uma calculadora mecânica que possui o mesmo mecanisco do modelo TK em um estojo fundido, podendo ser encontrada em diversos escritórios e bancos na época.","A Facit C1-13 é uma calculadora mecânica utilizada para realizações de contas triviais como adição, subtração, multiplicação e divisão.",1961,,Facit,"Suécia/Brasil",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/6/74027_ca_attribute_values_value_blob_4689_large.jpg' width='700' height='464' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/717_ca_attribute_values_value_blob_4690_large.jpg' width='700' height='464' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/7704_ca_attribute_values_value_blob_4692_large.jpg' width='700' height='464' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/13549_ca_attribute_values_value_blob_4693_large.jpg' width='700' height='464' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/92983_ca_attribute_values_value_blob_4694_large.jpg' width='700' height='464' />"
,iPAQ Desktop Legacy Personal Computer ,"Grupo E-Manuel",Computadores,"Computador desktop portátil com foco na conexão à internet produzido pela Compaq Computer Corporation no início dos anos 2000. Versão Legacy, incluindo interface paralela, serial e portas PS/2, com portas USB frontais. Vendido com o Sistema Operacional Windows 2000.","Computador desktop com conexão à internet. Poucas limitações de melhoria de peças, com possibilidade de troca de disco rígido, processador e memória RAM, desde que compatíveis com os soquetes. Possuía um slot ""Multi-bay"", que poderia conectar um drive de leitura de floppy disc, um drive de leitura de discos ópticos ou até um segundo disco rígido. Por possuir resfriamento por convecção, era usado em ambientes empresariais por ser mais silencioso.","Início dos anos 2000",,Compaq,Montado nos Estados Unidos,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/7/5762_ca_attribute_values_value_blob_4776_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/95461_ca_attribute_values_value_blob_4777_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/75378_ca_attribute_values_value_blob_4778_large.jpg' width='700' height='1074' />"
,"Kx-P1124",Jerry e os caras,Impressoras,"Fabricada em 1995 pela Panasonic, tinha a confiabilidade de imprimir 100 milhões de caracteres (mas apenas em preto e branco). Foi um dos modelos de impressoras lançadas que utilizavam 24 pinos na matriz para a impressão e por isso na época custava entre 500 e 600 dólares. Uma impressora de “pinos” funciona a partir de uma matriz de pontos que forma imagens por ""martelar"" esses pinos ou espirais contra um laço de tinta, criando padrões de pontos, que são responsáveis por formar letras e números da impressão. As impressoras de pinos que antecedem este modelo continham um cerca de 9 pinos e eram capazes de criar documentos que eram reconhecidos instantaneamente como impressão computacional. Porém, ao aumentar o número de pinos na matriz, maior se torna a nitidez dos caracteres impressos, por isso essa impressora adentrou o mercado com esse valor.","Serviço de impressão básico (em preto e branco)",1995,,Panasonic,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/9/18234_ca_attribute_values_value_blob_4913_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/6874_ca_attribute_values_value_blob_4914_large.jpg' width='700' height='394' />"
,Summa Prima 20,"BDR: Vinicius Soares Martins, João Pedro Oliveira Serpellone, Vinicius Macedo, Gustavo Poffo",Calculadoras,"A calculadora Olivetti Summa Prima 20 é uma calculadora mecânica composta por um painel que contêm um teclado com números de 1 à 9 e três teclas pretas para o zero, o zero duplo e o zero triplo. Os dígitos dos números se registram pela ordem em que se escreve (da esquerda para a direita) de acordo com as teclas digitadas. Podem se registrar números de até 10 dígitos (99.999.999,99) e obter total de até onze dígitos (999.999.999,99).  Há também uma alavanca regulável em quatro posições (duas verticais e duas horizontais) e cada uma com seu respectivo símbolo: vertical superior representada pelo símbolo semelhante à um asterisco e com a funcionalidade de totalizar a operação, vertical inferior representada por um símbolo com forma de um losangulo com  a finalidade de soma parcial, horizontal esquerda representada pelo símbolo de um triângulo e com a funcionalidade de não calcula e, por fim, horizontal direita com o símbolo na forma de um traço horizontal e com a finalidade de subtração.  Na parte superior esquerda do teclado está um indicador de colunas que conforme se digita o índice vermelho é movido da direita até a esquerda. Abaixo do indicador há uma alavanca para limpar os registros. Na parte direita da calculadora está o dispositivo está o dispositivo imobilizador, responsável no processo de multiplicação.  Ao lado, na parte direita está a alavanca que, se puxada, ativa o mecanismo que imprime os valores guardados pelo registrador numa fita de papel. ","A calculadora Olivetti Summa Prima 20 era uma calculadora que efetuava soma, subtração, multiplicação e divisão por repetição.",1970,,Olivetti,Argentina,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/9/85_ca_attribute_values_value_blob_4929_large.jpg' width='700' height='844' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/32476_ca_attribute_values_value_blob_4930_large.jpg' width='700' height='791' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/45970_ca_attribute_values_value_blob_4931_large.jpg' width='700' height='700' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/50891_ca_attribute_values_value_blob_4932_large.jpg' width='700' height='933' />"
,N51SLC,"Allan Garcia Silva, Enzo Yasuo Hirano Harada, João Buzzo, Kouki Hayashi",Computadores,"O IBM PS/2 Note N51SLC é um notebook desenvolvido pela IBM em 1992. Ele utiliza um CPU de uma geração passada a sua, o IBM386SLC-16MHZ, o qual era baseado no 386SX, com 16MHZ e economia de energia e memória cache embutida.      O notebook vem inicialmente com 2MB de ram, podendo ser aumentado até um limite de 10MB. Possui 80MB de HD, ou 40MB caso queira fazer a repartição em dois sistemas.     Possui um design compacto e leve, com um exterior de cor preta e uma tela de 9.5 polegadas, e vinha com ícones que representavam o estado da bateria e do sistema mesmo quando estava fechado. O seu teclado vem com teclas alfanuméricas comuns, e era levemente inclinado para proporcionar maior conforto. Possuía uma bateria N51SLC Ni-MH.  Vem com um cartucho de uso opcional que possibilitava o acesso de informações do host e do sistema LAN sem docking stations, feito para o uso empresarial.  ","O IBM PS/2 N51SLC foi um notebook relativamente potente na época, e perceptível pelo seu marketing, teve como foco ser de uso popular. Entretanto, os resultados  das vendas mostram que o notebook era mais comumente utilizado em ambientes de trabalho. ",1992,"Não",IBM,,Com Defeito,,Finalizado,,"Não",,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/6/4719_ca_attribute_values_value_blob_4607_large.jpg' width='700' height='525' />"
,"Contura Aero 4/25",Epson,Computadores,"O computador Compaq poderia ter até 20 MB de memória ram, sendo 4 MB fixos e o módulo de 16 MB requerendo uma versão de BIOS instalada 8/29/94 ou mais atualizada. Esse modelo tem melhores chipsets comparado as versões anteriores e possui mais opções de customização. Vem com um chip 25MHz Intel i486SX. Possui dois caches de memória conhecidos como L1 e L2. Tendo o primeiro 64 kilobytes e o segundo 1 ou 2 MB. Conta com um armazenamento em disco rígido de 84, 170 ou 250 MB. Além disso, acompanha uma trackball integrada ao lado do computador. 3.8 x 26 x 19 cm são as dimensões do produto, que tem um display VGA cinza de alta resolução 640x480. Originalmente rodavam MS-DOS e Windows 3.1, mas foram capazes de suportar o Windows 95 depois de seu lançamento.","Os casos de uso podiam variar dependendo das necessidades de cada perfil de usuário. Possuía acesso à internet, Word 6 e Excel 5, além de executar alguns jogos simples da época - como paciência e campo minado.",1994,,Compaq,Singapura,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/6/91296_ca_attribute_values_value_blob_4648_large.jpg' width='700' height='700' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/90755_ca_attribute_values_value_blob_4649_large.jpg' width='700' height='700' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/6/20350_ca_attribute_values_value_blob_4650_large.jpg' width='700' height='700' />"
,LOGOS 802B Olivetti,GiLHeRaJo,Calculadoras,"Calculadora profissional com capacidade de até 12 dígitos e duas cores (números negativos em vermelho). Possui conversor integrado de moedas. Tem tecnologia de impressão impacto paralelo. Alimentação elétrica bivolt. ","Possui capacidade de cálculo das quatro operações básicas (+,-,*,/) alíquota, taxas, câmbio, raiz quadrada, porcentagem, variação delta, entre outras. Tem, de forma integrada, funções CALL, VOID, COST, SELL, MARGIN, DATA, e conversão de moeda EURO para LOCAL e LOCAL para EURO, entre outras funções que auxiliam em cálculos financeiros. Permite a escolha entre imprimir ou não os cálculos realizados","Década de 1990",,Olivetti,"Malásia",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/3/64221_ca_attribute_values_value_blob_4386_large.jpg' width='700' height='987' />"
,MULTA 33,LP4,Calculadoras,"A Walther multa 33 é uma calculadora mecânica elétrica fabricada por volta de 1965 pela empresa alemã Walther Buromaschinen GmbH.  Ela é uma caixa de aproximadamente 21x22x12cm e possui um teclado numérico e teclas de operações (adição, subtração, multiplicação e divisão). Na parte superior, a máquina possui uma pequena saída, por meio da qual ela retorna o resultado da operação inserida pelo usuário, através da impressão do cálculo em um tipo de rolo de papel. ","Calculadora de operações básicas.","1965(aproximadamente)",,"Walther Buromaschinen GmbH. (anteriormente conhecida como Walter & Co. Feingerätebau GmbH)","Gerstetten, Alemanha",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/7/2143_ca_attribute_values_value_blob_4712_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/63897_ca_attribute_values_value_blob_4713_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/50825_ca_attribute_values_value_blob_4714_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/58323_ca_attribute_values_value_blob_4715_large.jpg' width='700' height='525' />"
,SUMMA 13 PLUS,"Ana Lídia Simoneti, Lucas P. F. Almeida, Angela Mestas Muñante, Lua Maia, Weslley Charles Lima da Cruz Júnior",Calculadoras,"‣ DOZE DÍGITOS 1234567890,12 ‣ IMPRESSÃO BICOLOR ‣ DISPLAY LCD GRANDE ‣ 4 SELETORES ‣ DECIMAIS (a,),2,3,F) ‣ ARREDONDAMENTO (5/4,) ‣ CALCULO DE TAXAS ‣ IMPRIME / NÃO IMPRIME ‣ 4 TECLAS DE MEMÓRIA","A calculadora realiza cálculos básicos (com ou sem ponto flutuante) como: ‣ SOMA ‣ SUBTRAÇÃO ‣ MULTIPLICAÇÃO  ‣ DIVISÃO ‣ MEMÓRIA Essa ferramenta, além dessas funções, desempenhava também cálculos espefíficos como: GPM ‣ CÁLCULO MARGEM BRUTA ‣ CALCULA O BENEFÍCIO E O PREÇO DE VENDA A PARTIR DO VALOR DE CUSTO + TAX ‣ CÁLCULO DE TAX ‣ CALCULA O PREÇO DE VENDA INCLUINDO A TAXA - TAX ‣ CÁLCULO DE TAX ‣ CALCULA O PREÇO DE VENDA EXCLUINDO A TAXA E por ultimo, esse dispositivo possui a função de imprimir ou não.",1997,"Não",Olivetti,Brasil,,,Em Progresso,,"Não",,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/3/98635_ca_attribute_values_value_blob_4346_large.jpg' width='700' height='936' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/3/23959_ca_attribute_values_value_blob_4347_large.jpg' width='700' height='936' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/3/46011_ca_attribute_values_value_blob_4348_large.jpg' width='700' height='936' />"
,"Ed-281",Programadores das cavernas,Computadores,"A EDISA ED-281 é um microcomputador multiusuário, com processador Zilog Z80 (que possui frequência máxima de clock de 4MHz), armazenamento na memória com capacidade de 208 kB, compiladores Pascal e C, e sistema operacional CP/M (padrão para microcomputadores de 8 bits). Além de ter um teclado com a organização QWERT (com algumas teclas adicionais), monitor de vídeo resolução: M;24x80 e gabinete com 3 entradas para leitura de disket (expansível para 4).","A EDISA ED-281 era mais utilizado no mundo dos negócios.*","Início da década de 80*",,EDISA,Brasil,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/4/36510_ca_attribute_values_value_blob_4404_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/4/12757_ca_attribute_values_value_blob_4405_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/4/53786_ca_attribute_values_value_blob_4406_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/4/58758_ca_attribute_values_value_blob_4407_large.jpg' width='700' height='933' />"
,"Aero 4/25","Ragnarok Brasileiro (RGB) Laura Neri Thomaz da Silva, Guilherme Motta Tranche,  Vinicius Ramos Diniz e Vitor Hugo Almeida Couto.",Computadores,"Hardware:     Intel i486SX a 25Mhz     Tela VGA monocromática     Placa de vídeo VGA padrão (640x480, 16 cores)     Disco rígido de 84 MB ou 170 MB     1 slot PCMCIA Tipo I / II     Porta paralela, serial e proprietário     4 MB de RAM expansível até 20 MB (extensões de 4 MB, 8 MB ou 16 MB)     Dimensões de 3,8 x 26 x 19 cm Software:     MS-DOS     Windows 3.1     Windows 95","O Compaq Contura Aero era um sub-notebook e era utilizado para usuais funções de um computador pessoal: organização de arquivos, edição de arquivos por meio de softwares como Word e Excel, jogos e acesso à internet.",1994,,Compaq,"Houston, Texas, USA",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/3/2508_ca_attribute_values_value_blob_4309_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/3/80201_ca_attribute_values_value_blob_4310_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/3/35820_ca_attribute_values_value_blob_4311_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/3/51025_ca_attribute_values_value_blob_4312_large.jpg' width='700' height='525' />"
,"Sharp PC-1211","Grupo Amigos do Claudião",Computadores,"O computador de bolso Sharp PC-1211 é composto por duas partes: uma é o display de LCD alfanumérico de 24 dígitos e a outra é o teclado também alfanumérico estilo QWERTY com 60 teclas, incluindo funções aritméticas. Ele é cinza e possui 17,5 cm de comprimento, 7 cm de largura e 1,7 cm de profundidade. Tem 1920 bytes de memória ram(três TC5514P de 4 kbit RAM) além de 2 diferentes CPUs (SC 43177/SC 43178)de 4 bits e 256 kHz, com um circuito CMOS integrado que ajuda na economia de energia, consumindo 0.01 watts e com uma bateria que pode durar aproximadamente 250 horas. O computador pode ser conectado a uma impressora portátil ou a um gravador de cassete para salvar os programas.","O Sharp PC-1211 era utilizado principalmente como computador para programação na linguagem BASIC mas também poderia ser utilizado como calculadora.",1980,,Sharp Corporation,"Japão",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/6/48383_ca_attribute_values_value_blob_4699_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/33842_ca_attribute_values_value_blob_4700_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/99098_ca_attribute_values_value_blob_4701_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/37793_ca_attribute_values_value_blob_4702_large.jpg' width='700' height='525' />"
,"I 7000 Júnior E","Programadores da história - Artur Lima, Gabriel Almeida, Gabriela Amadori, Gustavo Ferreira e Lucas Piovani.",Computadores,"O I 7000 Júnior E é um micocomputador de uso pessoal da Itautec. É o sucessor do primeiro microcomputador da empresa, o Itautec I 7000. Possui dimensões de 45cm X 46cm  X 16cm (aproximadamente). Tem o NSC 800 como processador, com clock de 4MHZ, seu sistema operacional é o SIM/M na linguagem BASIC. Sua memória vai de 64 kib(aproximadamente 8kb) - 128kb, tendo espaço também para um HD externo de até 10 Mb. Possui um teclado com 80 teclas, incluindo caracteres da língua portuguesa e um monitor com display de 160 X 100 pixels com 8 cores ou 320 X 200 pixels e 16 cores com placa de expansão","O Itautec I - 7000 funciona como um microcomputador pessoal com funcionalidades para escritório e universidades. Foi utilizado na maioria das universidades brasileiras por possuir o uso de caracteres da língua portuguesa e softwares de processador de texto(feitos pela própria Itautec) diferente do principal concorrente da época, o Apple.",1983,,Itautec,"Brasil São Paulo",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/5/72572_ca_attribute_values_value_blob_4525_large.jpg' width='700' height='872' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/5/19567_ca_attribute_values_value_blob_4526_large.jpg' width='700' height='939' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/95652_ca_attribute_values_value_blob_4934_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/81343_ca_attribute_values_value_blob_4935_large.jpg' width='700' height='434' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/5099_ca_attribute_values_value_blob_4936_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/9/16652_ca_attribute_values_value_blob_4937_large.jpg' width='700' height='388' />"
